Section,Best_k,RMSE,Scaled_RMSE,iFMII_rank,p_value_nonlinear,iFMII
1,9,0.3267384427692994,0.1832252133042418,22.0,0.5116279069767442,
2,9,0.2930415633906099,0.16100260254055324,24.0,0.5581395348837209,
3,9,0.2133713494194076,0.10846123410566222,31.0,0.7209302325581395,
4,4,0.2351674899975943,0.1228354775712456,29.0,0.6744186046511628,
5,9,0.3709522376768446,0.21238357967918003,18.0,0.4186046511627907,
6,9,0.0489079944253935,0.0,43.0,1.0,
7,4,0.15858266159835,0.07232887686220175,35.0,0.813953488372093,
8,9,0.3329489174566698,0.18732093267588348,20.0,0.46511627906976744,
9,10,0.6267338353561211,0.3810678908244929,4.0,0.09302325581395349,
10,9,1.5652410543442488,1.0,1.0,0.023255813953488372,
11,7,0.4402138342159316,0.25806061355114046,13.0,0.3023255813953488,
12,10,0.5978703084338134,0.3620328069862151,5.0,0.11627906976744186,
13,1,0.2701262665255276,0.1458902914851519,28.0,0.6511627906976745,
14,1,0.1634567677565426,0.07554328027199976,33.0,0.7674418604651163,
15,8,0.5257071477941888,0.3144422330238652,9.0,0.20930232558139536,
16,1,0.2277845848682756,0.11796655706527591,30.0,0.6976744186046512,
17,10,0.4251499000458424,0.2481261640767649,16.0,0.37209302325581395,
18,9,0.7033733638061975,0.4316105654359517,3.0,0.06976744186046512,
19,10,0.3796804773149158,0.21813972908249005,17.0,0.3953488372093023,
20,10,0.9713148889537226,0.6083141751045714,2.0,0.046511627906976744,
21,10,0.4377764608156742,0.2564532005990099,14.0,0.32558139534883723,
22,10,0.1574219716533222,0.07156341841794024,36.0,0.8372093023255814,
23,10,0.0961724661999277,0.031170244205493677,40.0,0.9302325581395349,
24,9,0.1269978085715507,0.051499117318154417,38.0,0.8837209302325582,
25,9,0.2785123935528389,0.1514208225069843,27.0,0.627906976744186,
26,1,0.2911627885681659,0.1597635773737838,25.0,0.5813953488372093,
27,1,0.3634174015133229,0.20741446282570664,19.0,0.4418604651162791,
28,1,0.07204222834448,0.015256696916127712,41.0,0.9534883720930233,
29,1,0.1457613089807319,0.06387337789794108,37.0,0.8604651162790697,
30,8,0.329225849697262,0.1848656226534224,21.0,0.4883720930232558,
31,10,0.5219511704439239,0.3119652195961781,10.0,0.23255813953488372,
32,3,0.0667627571064664,0.011774961024742394,42.0,0.9767441860465116,
33,10,0.2831466173818032,0.15447702694614115,26.0,0.6046511627906976,
34,10,0.1238776536809717,0.049441419723177504,39.0,0.9069767441860465,
35,10,0.1969786987461766,0.09765051507134383,32.0,0.7441860465116279,
36,10,0.5809732645123358,0.3508894478073406,6.0,0.13953488372093023,
37,9,0.4909796956496091,0.29153997423750194,11.0,0.2558139534883721,
38,10,0.3084808882891784,0.1711846168398357,23.0,0.5348837209302325,
39,9,0.5551359222294738,0.33385008952529893,7.0,0.16279069767441862,
40,9,0.4334748086470917,0.2536163224207997,15.0,0.3488372093023256,
41,10,0.4474550160928772,0.2628360695959576,12.0,0.27906976744186046,
42,8,0.5490263741343898,0.32982092980005295,8.0,0.18604651162790697,
43,2,0.1614799204392804,0.07423957769535872,34.0,0.7906976744186046,
Overall iFMII,,,,,,0.2115190449917484
