Section,Best_k,AIC,iFMII
1,1,-26.00525168555896,4.184963406587979
2,1,-27.550968769118228,5.444296071309943
3,1,-25.734309296972523,2.086676143409505
4,1,-18.80151750393822,2.607574754412112
5,1,-33.68202943206486,0.7616979823104215
6,1,-28.353369256482154,0.7875400578496848
7,1,-14.141427623108108,9.071291059853497
8,1,-12.12971763679218,14.032640474872066
9,2,-12.965512941424613,
10,2,-15.835055346889696,
11,2,-18.586969150709802,
12,3,-9.779918932154345,
13,1,-19.341077133067657,0.4532662173251059
14,2,-9.38664020965918,
15,1,-10.508454468597037,22.370748250470935
16,1,-12.665890491205914,3.8737136638821346
17,2,-0.09186899630844003,
18,3,-0.8223864640428449,
19,1,-7.324752949288543,1.0235150181970987
20,1,-21.544137017491643,29.093877863195665
21,3,8.557930820990878,
22,3,-16.0652518382313,
23,2,-2.749673086361634,
24,1,-3.137606190433438,0.04973857101222869
25,4,-5.044731068048414,
26,4,-6.626367224607861,
27,2,-29.873389716931314,
28,1,-34.42886693604957,2.7677149557815013
