Section,Best_k,RMSE,Scaled_RMSE,iFMII_rank,p_value_nonlinear,iFMII
1,1,0.1203318995824556,0.08744641307177158,24.0,0.8571428571428571,
2,9,0.7641266663291956,1.0,1.0,0.03571428571428571,
3,1,0.2116922553730477,0.21694609944083001,16.0,0.5714285714285714,
4,7,0.3643312400024111,0.4333058154920846,9.0,0.32142857142857145,
5,1,0.1562197293097085,0.13831599051516413,21.0,0.75,
6,1,0.1523685991600841,0.13285716603678857,22.0,0.7857142857142857,
7,10,0.4382696431740757,0.5381105739510654,4.0,0.14285714285714285,
8,10,0.6856447905569633,0.888755049055905,3.0,0.10714285714285714,
9,10,0.6929063708576252,0.8990480515660406,2.0,0.07142857142857142,
10,10,0.2417971862976504,0.2596186468402095,13.0,0.4642857142857143,
11,10,0.2652526193406389,0.29286579431935983,12.0,0.42857142857142855,
12,10,0.4132708749156709,0.5026758099217252,5.0,0.17857142857142858,
13,10,0.0596262592168001,0.0013985718592839566,27.0,0.9642857142857143,
14,10,0.2081158579067043,0.2118766976613083,17.0,0.6071428571428571,
15,10,0.129594207989677,0.10057536844206336,23.0,0.8214285714285714,
16,1,0.0586395848375375,0.0,28.0,1.0,
17,10,0.1724342884266252,0.16129948595016652,20.0,0.7142857142857143,
18,4,0.3225021273809402,0.37401470482705457,11.0,0.39285714285714285,
19,10,0.3950501016301864,0.47684858535092356,8.0,0.2857142857142857,
20,10,0.3485334315460883,0.4109130476147189,10.0,0.35714285714285715,
21,9,0.1934519791523974,0.19109123023176713,18.0,0.6428571428571429,
22,9,0.1887333314950959,0.18440273404084534,19.0,0.6785714285714286,
23,7,0.4003777271588821,0.48440028355839626,7.0,0.25,
24,10,0.406426553674155,0.4929742556040409,6.0,0.21428571428571427,
25,1,0.2259342257182534,0.23713352840847737,15.0,0.5357142857142857,
26,1,0.2301213123920958,0.24306855795570786,14.0,0.5,
27,6,0.1086286491009756,0.07085751897503624,25.0,0.8928571428571429,
28,10,0.1014015560577993,0.06061340078665555,26.0,0.9285714285714286,
Overall iFMII,,,,,,0.324693335052764
