Section,Index,Actual_ClosePrice,Predicted_ClosePrice,Reconstruction_Error,Scaled_Reconstruction_Error,iFMII_linear,iFMII_rank_linear,p_value_linear,Best_k,RMSE,Scaled_RMSE,iFMII_rank_nonlinear,p_value_nonlinear,iFMII_nonlinear,ip_value
1,19,7.28,7.337106236258222,0.0032611222195798,0.3261122219579866,0.3261122219579866,29.0,0.725,9.0,0.1897166154976814,0.1305740005098573,17.0,0.6071428571428571,,0.6660714285714285
2,19,7.35,7.328899237933942,0.0004452421597683,0.0445242159768389,0.0445242159768389,36.0,0.9,7.0,0.1580292503432262,0.0834178193371514,22.0,0.7857142857142857,,0.8428571428571429
3,18,7.2,7.264421969175137,0.0041501901124022,0.4150190112402285,1.762869997015358,12.0,0.3,8.0,0.2210704234671563,0.1772337919395308,14.0,0.5,,0.4
3,19,7.4,7.223627638707464,0.0311072098279048,3.110720982790488,1.762869997015358,12.0,0.3,8.0,0.2210704234671563,0.1772337919395308,14.0,0.5,,0.4
4,19,7.45,7.3291835140998,0.0145966232652733,1.459662326527336,1.459662326527336,14.0,0.35,10.0,0.645562163935746,0.8089495979802743,4.0,0.1428571428571428,,0.24642857142857139
5,19,7.41,7.239986519184223,0.0289045836590967,2.8904583659096703,2.8904583659096703,6.0,0.15,9.0,0.6480617951839374,0.8126694738181711,3.0,0.1071428571428571,,0.12857142857142856
6,18,7.5,7.473407575658221,0.0007071570323732,0.0707157032373263,0.4071136581383455,22.0,0.55,9.0,0.1414696166293294,0.0587742718613723,23.0,0.8214285714285714,,0.6857142857142857
6,19,7.55,7.4637728805398575,0.0074351161303936,0.7435116130393646,0.4071136581383455,22.0,0.55,9.0,0.1414696166293294,0.0587742718613723,23.0,0.8214285714285714,,0.6857142857142857
7,18,7.55,7.477543083523546,0.0052500047452757,0.5250004745275786,0.2849388846895964,30.0,0.75,1.0,0.2142289722564495,0.1670525505771212,15.0,0.5357142857142857,,0.6428571428571428
7,19,7.5,7.521184261811924,0.0004487729485161,0.0448772948516141,0.2849388846895964,30.0,0.75,1.0,0.2142289722564495,0.1670525505771212,15.0,0.5357142857142857,,0.6428571428571428
8,19,7.41,7.489491370093209,0.0063188779192954,0.6318877919295444,0.6318877919295444,21.0,0.525,6.0,0.7739415980025682,1.0,1.0,0.0357142857142857,,0.28035714285714286
9,19,7.5,7.497567895615263,5.915131738257263e-06,0.0005915131738257,0.0005915131738257,39.0,0.975,10.0,0.5667274373055083,0.691630135363057,5.0,0.1785714285714285,,0.5767857142857142
10,19,7.59,7.500732901595306,0.0079686148575932,0.7968614857593271,0.7968614857593271,19.0,0.475,9.0,0.538724182330831,0.6499565358518746,6.0,0.2142857142857142,,0.3446428571428571
11,19,7.49,7.491769940672367,3.132689983699022e-06,0.0003132689983699,0.0003132689983699,40.0,1.0,10.0,0.2490802625043772,0.2189171896540236,13.0,0.4642857142857143,,0.7321428571428572
12,19,7.5,7.48784142929806,0.000147830841514,0.014783084151408,0.014783084151408,37.0,0.925,10.0,0.3292605777736418,0.3382391167026192,9.0,0.3214285714285714,,0.6232142857142857
13,19,7.7,7.549129032258035,0.022762048907397,2.2762048907397063,2.2762048907397063,10.0,0.25,6.0,0.4909695099443049,0.5788894726257099,8.0,0.2857142857142857,,0.26785714285714285
14,19,9.25,9.095776165490392,0.0237849911308469,2.378499113084698,2.378499113084698,9.0,0.225,9.0,0.1260136366636247,0.035773148608876,25.0,0.8928571428571429,,0.5589285714285714
15,18,9.52,9.3950129669416,0.0156217584327414,1.562175843274146,2.6857855172838354,7.0,0.175,1.0,0.1030929197171935,0.0016632289085234,27.0,0.9642857142857144,,0.5696428571428572
15,19,9.36,9.555176719700212,0.0380939519129352,3.809395191293525,2.6857855172838354,7.0,0.175,1.0,0.1030929197171935,0.0016632289085234,27.0,0.9642857142857144,,0.5696428571428572
16,19,9.14,9.286754912169494,0.0215370042458757,2.15370042458757,2.15370042458757,11.0,0.275,9.0,0.2861400958950221,0.2740685160290988,11.0,0.3928571428571428,,0.3339285714285714
17,19,8.67,8.392387351045109,0.0770687828597516,7.706878285975162,7.706878285975162,2.0,0.05,9.0,0.1019752859213862,0.0,28.0,1.0,,0.525
18,19,8.4,8.487602600144223,0.0076742155520285,0.767421555202857,0.767421555202857,20.0,0.5,8.0,0.2116891297800682,0.1632728336021511,16.0,0.5714285714285714,,0.5357142857142857
19,19,9.12,8.821072228407651,0.089357812629167,8.93578126291671,8.93578126291671,1.0,0.025,9.0,0.1891690433926779,0.1297591202172611,18.0,0.6428571428571429,,0.33392857142857146
20,19,8.9,8.904780075631402,2.2849123041921454e-05,0.0022849123041921,0.0022849123041921,38.0,0.95,1.0,0.1654900417545965,0.0945207441076851,20.0,0.7142857142857143,,0.8321428571428571
21,19,9.29,9.198366343247468,0.0083967270498407,0.8396727049840729,0.8396727049840729,18.0,0.45,10.0,0.1071509162942448,0.0077022170305366,26.0,0.9285714285714286,,0.6892857142857143
22,17,9.55,9.518871229346804,0.0009690003623793,0.0969000362379343,4.753062984935451,3.0,0.075,10.0,0.255127169547623,0.2279160143488474,12.0,0.4285714285714285,,0.2517857142857142
22,18,9.93,9.56731622346176,0.1315395217640403,13.153952176404037,4.753062984935451,3.0,0.075,10.0,0.255127169547623,0.2279160143488474,12.0,0.4285714285714285,,0.2517857142857142
22,19,9.64,9.740415971944923,0.0100833674216438,1.0083367421643858,4.753062984935451,3.0,0.075,10.0,0.255127169547623,0.2279160143488474,12.0,0.4285714285714285,,0.2517857142857142
23,17,9.38,9.301547738687548,0.0061547573050374,0.6154757305037406,1.1053408260850428,15.0,0.375,3.0,0.1409090157447162,0.0579400025318922,24.0,0.8571428571428571,,0.6160714285714286
23,18,9.31,9.343732099452817,0.0011378545334946,0.1137854533494689,1.1053408260850428,15.0,0.375,3.0,0.1409090157447162,0.0579400025318922,24.0,0.8571428571428571,,0.6160714285714286
23,19,9.15,9.31083411623166,0.0258676129440191,2.586761294401919,1.1053408260850428,15.0,0.375,3.0,0.1409090157447162,0.0579400025318922,24.0,0.8571428571428571,,0.6160714285714286
24,15,9.1,9.15235186646554,0.0027407179224258,0.2740717922425827,0.3265259341561582,24.0,0.6,3.0,0.3020897605940129,0.2978043260127753,10.0,0.3571428571428571,,0.47857142857142854
24,16,9.13,9.164610659804772,0.0011978977721216,0.1197897772121626,0.3265259341561582,24.0,0.6,3.0,0.3020897605940129,0.2978043260127753,10.0,0.3571428571428571,,0.47857142857142854
24,17,9.06,9.17067139198208,0.0122481570032513,1.224815700325132,0.3265259341561582,24.0,0.6,3.0,0.3020897605940129,0.2978043260127753,10.0,0.3571428571428571,,0.47857142857142854
24,18,9.1,9.10095150925058,9.05369853942834e-07,9.05369853942834e-05,0.3265259341561582,24.0,0.6,3.0,0.3020897605940129,0.2978043260127753,10.0,0.3571428571428571,,0.47857142857142854
24,19,9.23,9.218226358245843,0.0001386186401551,0.0138618640155191,0.3265259341561582,24.0,0.6,3.0,0.3020897605940129,0.2978043260127753,10.0,0.3571428571428571,,0.47857142857142854
25,16,9.1,9.0900803329578,9.839979422809432e-05,0.0098399794228094,0.1242981329236105,32.0,0.8,1.0,0.1707016452868599,0.1022764953091438,19.0,0.6785714285714286,,0.7392857142857143
25,17,9.11,9.156431860521472,0.0021559176714855,0.215591767148551,0.1242981329236105,32.0,0.8,1.0,0.1707016452868599,0.1022764953091438,19.0,0.6785714285714286,,0.7392857142857143
25,18,9.01,9.012335525842447,5.454680960739353e-06,0.0005454680960739,0.1242981329236105,32.0,0.8,1.0,0.1707016452868599,0.1022764953091438,19.0,0.6785714285714286,,0.7392857142857143
25,19,9.15,9.097921663138402,0.00271215317027,0.2712153170270079,0.1242981329236105,32.0,0.8,1.0,0.1707016452868599,0.1022764953091438,19.0,0.6785714285714286,,0.7392857142857143
